CustomerName,Age,MaritalStatus,IncomeRange,Gender,TotalChildren,ChildrenAtHome,Education,Occupation,HomeOwner,Cars
Yusuf Mahendra,43,belum menikah,142546,laki-laki,0,1,SMA,skilled manual work,tidak memiliki rumah sendiri,2
Nina Utomo,65,sudah menikah,55844,perempuan,5,0,S2,professional,memiliki rumah sendiri,2
Fitri Wibowo,41,sudah menikah,132289,perempuan,2,0,S2,clerical work,memiliki rumah sendiri,0
Zainab Hakim,27,belum menikah,31082,laki-laki,4,2,SMA,unskilled manual work,memiliki rumah sendiri,0
Maya Wibowo,52,belum menikah,86269,perempuan,3,2,S2,management,tidak memiliki rumah sendiri,3
Kartini Susanto,60,belum menikah,41641,perempuan,1,0,Post-graduate,management,memiliki rumah sendiri,3
Nina Hakim,58,sudah menikah,135991,laki-laki,1,1,S2,clerical work,tidak memiliki rumah sendiri,1
Joko Putra,24,belum menikah,32999,perempuan,0,1,S3,management,tidak memiliki rumah sendiri,1
Maya Wahyuni,69,sudah menikah,79053,laki-laki,0,0,SMA,skilled manual work,memiliki rumah sendiri,1
Dewi Muliawan,36,belum menikah,28349,perempuan,0,0,S2,skilled manual work,tidak memiliki rumah sendiri,0
Indra Mahendra,67,sudah menikah,95376,perempuan,1,0,S2,management,tidak memiliki rumah sendiri,3
Rizki Mahendra,53,belum menikah,145437,perempuan,2,0,S1,professional,tidak memiliki rumah sendiri,0
Joko Susanto,19,belum menikah,35941,perempuan,4,1,S1,professional,memiliki rumah sendiri,1
Dewi Santoso,35,belum menikah,143427,laki-laki,1,2,SMA,clerical work,memiliki rumah sendiri,3
Putri Wibowo,55,sudah menikah,90485,perempuan,3,3,S1,management,memiliki rumah sendiri,1
Wati Sari,26,sudah menikah,32114,laki-laki,2,1,Post-graduate,management,memiliki rumah sendiri,2
Agus Wahyuni,19,belum menikah,33811,laki-laki,1,2,S2,skilled manual work,memiliki rumah sendiri,1
Gita Sari,58,belum menikah,75884,perempuan,5,1,S3,sales,tidak memiliki rumah sendiri,3
Agus Fauzan,43,belum menikah,98425,perempuan,2,0,S1,clerical work,tidak memiliki rumah sendiri,3
Yusuf Mahendra,22,sudah menikah,40653,laki-laki,2,1,S1,professional,memiliki rumah sendiri,3
Gita Anggraini,33,belum menikah,109963,laki-laki,0,4,S1,management,tidak memiliki rumah sendiri,0
Vina Pratama,64,sudah menikah,134645,perempuan,4,0,Post-graduate,professional,tidak memiliki rumah sendiri,3
Zainab Susanto,27,belum menikah,126566,perempuan,1,0,S1,skilled manual work,tidak memiliki rumah sendiri,1
Eko Haryanto,53,belum menikah,47410,laki-laki,0,2,S3,professional,tidak memiliki rumah sendiri,3
Joko Sari,39,belum menikah,77176,laki-laki,2,3,S3,professional,tidak memiliki rumah sendiri,1
Eko Saputra,25,belum menikah,119897,perempuan,2,3,SMA,management,memiliki rumah sendiri,1
Kartini Hakim,26,sudah menikah,125750,laki-laki,4,1,Post-graduate,skilled manual work,memiliki rumah sendiri,0
Zainab Fauzan,47,sudah menikah,82074,perempuan,0,3,S3,clerical work,tidak memiliki rumah sendiri,2
Vina Hidayat,28,sudah menikah,94241,laki-laki,5,1,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,0
Indra Haryanto,67,sudah menikah,69181,laki-laki,3,2,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,2
Eko Putra,20,sudah menikah,115896,laki-laki,3,0,SMA,skilled manual work,tidak memiliki rumah sendiri,1
Taufik Saputra,50,belum menikah,104823,laki-laki,5,0,S1,management,memiliki rumah sendiri,2
Wati Sari,56,sudah menikah,135143,perempuan,4,3,Post-graduate,professional,tidak memiliki rumah sendiri,0
Nina Setiawan,30,belum menikah,112698,perempuan,0,2,S1,unskilled manual work,memiliki rumah sendiri,0
Lina Mahendra,60,belum menikah,135322,perempuan,5,1,S1,sales,memiliki rumah sendiri,3
Eko Setiawan,37,belum menikah,140920,perempuan,2,1,S1,professional,tidak memiliki rumah sendiri,0
Maya Muliawan,61,sudah menikah,140897,laki-laki,3,1,S1,professional,memiliki rumah sendiri,1
Vina Putra,51,sudah menikah,117622,perempuan,5,1,S1,sales,tidak memiliki rumah sendiri,2
Dewi Anggraini,19,sudah menikah,123961,perempuan,0,1,SMA,management,memiliki rumah sendiri,1
Cahyadi Setiawan,64,sudah menikah,62657,laki-laki,2,0,Post-graduate,sales,tidak memiliki rumah sendiri,2
Cahyadi Rachman,67,sudah menikah,102168,perempuan,2,1,Post-graduate,management,tidak memiliki rumah sendiri,0
Kartini Fauzan,51,sudah menikah,52940,perempuan,3,1,S1,clerical work,memiliki rumah sendiri,1
Indra Hakim,68,sudah menikah,138458,laki-laki,0,2,S1,skilled manual work,memiliki rumah sendiri,3
Dewi Mahendra,54,sudah menikah,35863,perempuan,2,3,S3,professional,tidak memiliki rumah sendiri,3
Gita Anggraini,48,sudah menikah,82217,perempuan,5,0,S3,management,tidak memiliki rumah sendiri,2
Siti Sari,39,belum menikah,41773,laki-laki,3,1,Post-graduate,clerical work,tidak memiliki rumah sendiri,1
Usman Purnomo,51,sudah menikah,70029,perempuan,2,0,S2,professional,tidak memiliki rumah sendiri,3
Siti Hidayat,22,sudah menikah,138050,perempuan,0,3,Post-graduate,skilled manual work,memiliki rumah sendiri,3
Zainab Wahyuni,50,sudah menikah,148356,perempuan,0,5,S3,skilled manual work,tidak memiliki rumah sendiri,1
Lina Hidayat,55,belum menikah,26700,laki-laki,3,0,SMA,management,memiliki rumah sendiri,0
Fitri Anggraini,54,belum menikah,75189,laki-laki,0,0,S3,sales,tidak memiliki rumah sendiri,3
Vina Wibowo,54,sudah menikah,146225,laki-laki,4,4,S2,sales,tidak memiliki rumah sendiri,2
Agus Haryanto,46,belum menikah,147217,laki-laki,0,0,S2,clerical work,memiliki rumah sendiri,2
Zainab Anggraini,19,sudah menikah,37195,laki-laki,4,0,SMA,skilled manual work,tidak memiliki rumah sendiri,3
Dewi Hakim,26,sudah menikah,63222,laki-laki,0,0,S3,sales,memiliki rumah sendiri,3
Cahyadi Wijaya,58,sudah menikah,149860,perempuan,4,0,Post-graduate,management,memiliki rumah sendiri,3
Indra Hidayat,68,sudah menikah,22682,perempuan,2,2,S3,professional,tidak memiliki rumah sendiri,1
Cahyadi Wijaya,39,sudah menikah,133712,laki-laki,5,0,S3,professional,tidak memiliki rumah sendiri,0
Zainab Wijaya,37,sudah menikah,71407,perempuan,0,4,S2,sales,memiliki rumah sendiri,1
Dewi Putra,19,sudah menikah,27115,perempuan,3,4,SMA,professional,tidak memiliki rumah sendiri,3
Budi Wijaya,64,belum menikah,21442,laki-laki,5,3,Post-graduate,unskilled manual work,memiliki rumah sendiri,2
Agus Hidayat,20,belum menikah,75206,laki-laki,3,0,S2,professional,tidak memiliki rumah sendiri,0
Joko Hakim,50,sudah menikah,98969,laki-laki,3,1,S2,sales,memiliki rumah sendiri,2
Vina Santoso,25,sudah menikah,45737,perempuan,2,0,SMA,professional,tidak memiliki rumah sendiri,3
Rizki Sari,24,belum menikah,73740,laki-laki,1,1,S2,sales,memiliki rumah sendiri,3
Hadi Hidayat,36,sudah menikah,73992,laki-laki,2,0,S3,clerical work,memiliki rumah sendiri,2
Putri Anggraini,26,belum menikah,147309,perempuan,5,1,Post-graduate,professional,tidak memiliki rumah sendiri,2
Eko Hakim,24,sudah menikah,68449,perempuan,5,2,S1,professional,memiliki rumah sendiri,3
Yusuf Fauzan,63,belum menikah,41563,perempuan,5,1,S1,management,tidak memiliki rumah sendiri,3
Indra Susanto,18,sudah menikah,46352,perempuan,2,2,S3,unskilled manual work,tidak memiliki rumah sendiri,0
Usman Rachman,60,belum menikah,137524,laki-laki,4,0,S2,unskilled manual work,memiliki rumah sendiri,2
Gita Susanto,29,belum menikah,68505,laki-laki,1,2,S1,skilled manual work,tidak memiliki rumah sendiri,2
Siti Muliawan,41,sudah menikah,80121,perempuan,2,0,S1,management,memiliki rumah sendiri,2
Dewi Saputra,65,sudah menikah,102680,perempuan,4,0,S3,sales,tidak memiliki rumah sendiri,1
Gita Purnomo,36,belum menikah,148176,perempuan,4,0,S3,sales,tidak memiliki rumah sendiri,1
Wati Anggraini,23,belum menikah,125210,perempuan,1,3,Post-graduate,management,memiliki rumah sendiri,1
Kartini Putra,22,sudah menikah,80719,perempuan,2,0,SMA,skilled manual work,memiliki rumah sendiri,0
Usman Santoso,25,sudah menikah,84691,laki-laki,4,0,SMA,clerical work,memiliki rumah sendiri,2
Dewi Hakim,69,sudah menikah,104413,perempuan,4,2,SMA,unskilled manual work,tidak memiliki rumah sendiri,0
Joko Hakim,34,sudah menikah,61532,laki-laki,1,0,S2,unskilled manual work,memiliki rumah sendiri,1
Gita Putra,28,sudah menikah,121996,perempuan,5,2,S2,professional,memiliki rumah sendiri,3
Joko Mahendra,29,sudah menikah,146076,laki-laki,4,3,S1,sales,tidak memiliki rumah sendiri,0
Hadi Mahendra,47,sudah menikah,119600,laki-laki,0,0,S3,professional,tidak memiliki rumah sendiri,0
Gita Sari,47,belum menikah,46780,laki-laki,2,4,S1,unskilled manual work,tidak memiliki rumah sendiri,2
Indra Pratama,69,sudah menikah,54985,perempuan,3,0,S2,unskilled manual work,memiliki rumah sendiri,3
Lina Sari,20,sudah menikah,65806,perempuan,2,1,S3,management,tidak memiliki rumah sendiri,0
Siti Anggraini,57,belum menikah,90579,perempuan,0,4,S2,unskilled manual work,memiliki rumah sendiri,2
Vina Haryanto,38,belum menikah,29747,laki-laki,3,1,S2,management,memiliki rumah sendiri,2
Kartini Anggraini,55,sudah menikah,129647,laki-laki,2,2,Post-graduate,clerical work,memiliki rumah sendiri,2
Vina Wijaya,26,belum menikah,100221,perempuan,0,0,Post-graduate,clerical work,tidak memiliki rumah sendiri,3
Nina Muliawan,23,sudah menikah,126431,perempuan,0,0,Post-graduate,skilled manual work,memiliki rumah sendiri,1
Taufik Hidayat,67,belum menikah,120068,laki-laki,1,5,Post-graduate,management,memiliki rumah sendiri,2
Dewi Saputra,32,belum menikah,122721,laki-laki,4,0,S2,sales,tidak memiliki rumah sendiri,1
Siti Putra,30,sudah menikah,26071,perempuan,1,2,S3,professional,memiliki rumah sendiri,0
Dewi Anggraini,33,sudah menikah,92001,perempuan,3,1,S3,unskilled manual work,memiliki rumah sendiri,2
Nina Wibowo,43,sudah menikah,60944,perempuan,5,0,S1,skilled manual work,tidak memiliki rumah sendiri,2
Wati Saputra,24,belum menikah,106259,laki-laki,0,2,S2,clerical work,tidak memiliki rumah sendiri,3
Lina Purnomo,43,sudah menikah,63946,perempuan,3,0,SMA,sales,memiliki rumah sendiri,2
Cahyadi Rachman,43,belum menikah,105176,perempuan,1,3,SMA,management,memiliki rumah sendiri,1
